family,gap_A,gap_B,gap_C,gap_D,struct_effect,prov_effect,lab
Claude (2-tier),0.2250000000000001,0.235,0.05999999999999994,0.07499999999999996,0.009999999999999898,-0.16500000000000015,Anthropic
qwen2.5:32b,0.35000000000000003,0.36,0.18000000000000005,0.19999999999999996,0.009999999999999953,-0.16999999999999998,Alibaba
llama3.1:8b,0.24999999999999994,0.24999999999999994,0.18,0.14999999999999997,0.0,-0.06999999999999995,Meta
llama3.1:70b,0.27999999999999997,0.29,0.1399999999999999,0.14,0.010000000000000009,-0.14000000000000007,Meta
gemma2:27b,0.24000000000000005,0.2899999999999999,0.15000000000000002,0.16000000000000003,0.04999999999999988,-0.09000000000000002,Google
mixtral:8x7b,0.15000000000000002,0.09999999999999998,-0.04999999999999999,0.0,-0.050000000000000044,-0.2,Mistral
